iter	Logloss
0	0.6419396973
1	0.5974450435
2	0.5581498458
3	0.5241340426
4	0.4943799455
5	0.4679089087
6	0.4453310442
7	0.425711344
8	0.4082375799
9	0.3925224455
10	0.3789410811
11	0.3668315644
12	0.3562169283
13	0.3470099961
14	0.3386523876
15	0.3313096787
16	0.3248400117
17	0.3191898225
18	0.3140252469
19	0.3095536287
20	0.3055089185
21	0.3019319182
22	0.298963747
23	0.2961993845
24	0.2937033648
25	0.2913742416
26	0.2893296046
27	0.2876011325
28	0.2860144797
29	0.2845627101
30	0.283277979
31	0.2822008495
32	0.2812546818
33	0.2803371729
34	0.2794356008
35	0.2787338137
36	0.2779513713
37	0.2772695494
38	0.2766490856
39	0.2760973384
40	0.2756045976
41	0.2751493545
42	0.2747780849
43	0.2744079275
44	0.2741133009
45	0.2737796119
46	0.2735155044
47	0.2732779788
48	0.2730747592
49	0.2728634999
50	0.2726659748
51	0.2724956018
52	0.2723345856
53	0.2721711141
54	0.2720316664
55	0.2719198467
56	0.2718013926
57	0.2716881672
58	0.2715878939
59	0.2714799939
60	0.2713994803
61	0.2713082067
62	0.2712204305
63	0.2711339392
64	0.271054619
65	0.2709877221
66	0.2709037274
67	0.2708487864
68	0.2707918855
69	0.2707294217
70	0.2706956965
71	0.2706601561
72	0.2706091786
73	0.2705662335
74	0.2705265032
75	0.2704901984
76	0.2704617256
77	0.2704278544
78	0.2703864768
79	0.2703438126
80	0.2703091809
81	0.2702643195
82	0.2702383707
83	0.2702157272
84	0.270185924
85	0.2701571542
86	0.2701344115
87	0.2701036523
88	0.2700757044
89	0.2700516954
90	0.2700280719
91	0.2700020582
92	0.2699806268
93	0.2699543887
94	0.2699244927
95	0.2698987868
96	0.2698715922
97	0.269835399
98	0.2698213684
99	0.2697969372
100	0.2697732513
101	0.2697559252
102	0.2697371616
103	0.2697185394
104	0.2697039134
105	0.2696890427
106	0.2696685308
107	0.2696384694
108	0.2696215653
109	0.2696068272
110	0.2695780874
111	0.2695525787
112	0.2695337655
113	0.2695157188
114	0.2694871791
115	0.2694666557
116	0.2694535444
117	0.2694451176
118	0.2694304341
119	0.2694142475
120	0.2694041831
121	0.2693762039
122	0.2693646126
123	0.269349191
124	0.2693425831
125	0.2693308378
126	0.2693221161
127	0.2692945238
128	0.2692907264
129	0.269276084
130	0.2692619048
131	0.2692447837
132	0.2692278412
133	0.2692175566
134	0.2692059883
135	0.2691953738
136	0.2691736143
137	0.2691655083
138	0.2691460953
139	0.2691345743
140	0.2691204611
141	0.2691080002
142	0.2690958165
143	0.2690784304
144	0.2690671734
145	0.2690538295
146	0.2690386131
147	0.2690346043
148	0.2690182125
149	0.2690046198
150	0.268983179
151	0.2689725092
152	0.2689624176
153	0.268946751
154	0.2689394004
155	0.2689232509
156	0.2689111013
157	0.2689013737
158	0.2688901822
159	0.2688796226
160	0.2688709919
161	0.2688544684
162	0.2688384944
163	0.2688169817
164	0.2687910069
165	0.2687744999
166	0.268764718
167	0.2687454347
168	0.2687252667
169	0.2687061895
170	0.2686938615
171	0.2686810934
172	0.2686756242
173	0.2686678231
174	0.2686569213
175	0.268647717
176	0.2686368453
177	0.2686128245
178	0.2685894276
179	0.2685749418
180	0.2685563068
181	0.2685418894
182	0.2685310834
183	0.268519545
184	0.2685153554
185	0.2685046339
186	0.2684812809
187	0.2684715214
188	0.2684613455
189	0.2684504326
190	0.2684364565
191	0.2684228868
192	0.2684069247
193	0.2683898671
194	0.2683849943
195	0.2683736288
196	0.2683554671
197	0.268341959
