iter	Passed	Remaining
0	19	9640
1	37	9411
2	53	8919
3	69	8613
4	83	8280
5	98	8096
6	111	7865
7	126	7779
8	140	7675
9	154	7579
10	167	7467
11	181	7364
12	194	7282
13	208	7233
14	224	7250
15	239	7238
16	255	7256
17	273	7326
18	293	7424
19	308	7414
20	323	7385
21	339	7369
22	353	7322
23	364	7222
24	378	7194
25	393	7175
26	406	7121
27	417	7037
28	430	6989
29	443	6947
30	457	6919
31	470	6887
32	483	6838
33	494	6778
34	508	6756
35	519	6692
36	532	6664
37	545	6633
38	559	6617
39	574	6604
40	589	6599
41	604	6591
42	618	6571
43	632	6553
44	645	6528
45	660	6513
46	672	6484
47	687	6470
48	702	6462
49	716	6444
50	728	6415
51	742	6395
52	755	6374
53	769	6352
54	783	6336
55	797	6322
56	811	6309
57	824	6285
58	839	6272
59	853	6258
60	868	6247
61	880	6223
62	895	6210
63	909	6193
64	922	6176
65	938	6168
66	953	6163
67	970	6166
68	986	6162
69	1002	6157
70	1018	6153
71	1033	6144
72	1049	6140
73	1065	6131
74	1080	6124
75	1097	6122
76	1113	6116
77	1129	6112
78	1145	6105
79	1161	6100
80	1177	6091
81	1194	6087
82	1209	6074
83	1224	6066
84	1242	6066
85	1258	6056
86	1273	6047
87	1289	6036
88	1305	6029
89	1320	6016
90	1337	6011
91	1353	6001
92	1368	5990
93	1384	5979
94	1400	5969
95	1416	5959
96	1431	5945
97	1447	5936
98	1462	5924
99	1478	5912
100	1493	5900
101	1508	5885
102	1524	5874
103	1539	5861
104	1554	5848
105	1570	5838
106	1586	5826
107	1601	5811
108	1616	5798
109	1631	5784
110	1646	5771
111	1663	5761
112	1678	5749
113	1695	5739
114	1710	5725
115	1725	5710
116	1739	5693
117	1752	5674
118	1767	5657
119	1781	5641
120	1795	5624
121	1809	5607
122	1824	5591
123	1838	5576
124	1852	5557
125	1866	5540
126	1880	5522
127	1894	5504
128	1907	5486
129	1922	5470
130	1935	5452
131	1949	5433
132	1963	5417
133	1976	5398
134	1989	5380
135	2004	5364
136	2023	5362
137	2041	5354
138	2057	5343
139	2071	5327
140	2085	5309
141	2099	5293
142	2113	5277
143	2127	5259
144	2141	5243
145	2155	5225
146	2168	5208
147	2181	5188
148	2195	5171
149	2209	5154
150	2222	5137
151	2236	5119
152	2249	5102
153	2263	5086
154	2277	5069
155	2290	5051
156	2304	5034
157	2317	5016
158	2332	5001
159	2345	4984
160	2358	4966
161	2372	4949
162	2386	4934
163	2400	4919
164	2414	4902
165	2429	4887
166	2443	4871
167	2457	4855
168	2471	4840
169	2485	4824
170	2498	4807
171	2512	4792
172	2528	4779
173	2543	4765
174	2558	4751
175	2572	4736
176	2587	4721
177	2602	4707
178	2617	4694
179	2632	4680
180	2647	4665
181	2662	4651
182	2677	4637
183	2691	4622
184	2706	4607
185	2721	4595
186	2736	4580
187	2752	4568
188	2767	4553
189	2782	4539
190	2797	4525
191	2812	4512
192	2828	4499
193	2844	4486
194	2860	4473
195	2875	4459
196	2890	4445
197	2905	4430
198	2919	4416
199	2934	4401
200	2948	4386
201	2963	4372
202	2976	4355
203	2990	4339
204	3004	4323
205	3017	4307
206	3033	4293
207	3047	4278
208	3061	4263
209	3075	4247
210	3088	4230
211	3102	4214
212	3116	4198
213	3130	4183
214	3145	4168
215	3160	4154
216	3174	4139
217	3188	4124
218	3202	4109
219	3216	4093
220	3229	4077
221	3242	4060
222	3256	4044
223	3269	4028
224	3283	4012
225	3296	3996
226	3310	3981
227	3323	3965
228	3337	3949
229	3351	3934
230	3365	3919
231	3379	3903
232	3393	3889
233	3407	3873
234	3422	3859
235	3436	3843
236	3450	3828
237	3464	3813
238	3477	3797
239	3491	3782
240	3502	3764
241	3516	3749
242	3529	3733
243	3543	3717
244	3557	3702
245	3570	3686
246	3584	3671
247	3597	3655
248	3611	3640
249	3625	3625
250	3639	3610
251	3652	3594
252	3666	3579
253	3680	3564
254	3694	3549
255	3708	3534
256	3721	3518
257	3735	3504
258	3749	3488
259	3762	3473
260	3776	3458
261	3790	3443
262	3804	3427
263	3817	3412
264	3831	3397
265	3845	3382
266	3859	3367
267	3873	3352
268	3886	3337
269	3900	3322
270	3914	3307
271	3927	3292
272	3940	3276
273	3954	3261
274	3967	3246
275	3981	3231
276	3994	3215
277	4008	3201
278	4022	3186
279	4036	3171
280	4050	3157
281	4064	3141
282	4078	3127
283	4092	3112
284	4106	3097
285	4119	3082
286	4133	3067
287	4146	3052
288	4159	3037
289	4174	3022
290	4190	3009
291	4203	2994
292	4217	2979
293	4230	2963
294	4243	2948
295	4256	2933
296	4269	2918
297	4283	2903
298	4296	2888
299	4310	2873
300	4322	2858
301	4337	2843
302	4350	2828
303	4363	2813
304	4376	2797
305	4389	2783
306	4403	2768
307	4417	2753
308	4431	2739
309	4444	2724
310	4457	2708
311	4471	2694
312	4484	2679
313	4498	2664
314	4513	2650
315	4527	2635
316	4540	2621
317	4555	2607
318	4569	2592
319	4582	2577
320	4595	2562
321	4609	2548
322	4622	2533
323	4636	2518
324	4649	2503
325	4662	2488
326	4676	2474
327	4690	2459
328	4704	2445
329	4718	2430
330	4731	2415
331	4745	2401
332	4759	2386
333	4772	2372
334	4785	2356
335	4799	2342
336	4813	2328
337	4826	2313
338	4840	2298
339	4854	2284
340	4867	2269
341	4880	2254
342	4894	2240
343	4908	2225
344	4922	2211
345	4935	2196
346	4948	2182
347	4961	2167
348	4974	2152
349	4988	2137
350	5001	2123
351	5014	2108
352	5027	2093
353	5041	2079
354	5055	2064
355	5069	2050
356	5082	2035
357	5096	2021
358	5110	2007
359	5124	1992
360	5137	1978
361	5150	1963
362	5165	1949
363	5178	1934
364	5192	1920
365	5206	1906
366	5219	1891
367	5233	1877
368	5248	1863
369	5261	1848
370	5274	1834
371	5288	1819
372	5301	1805
373	5315	1790
374	5329	1776
375	5343	1762
376	5356	1747
377	5370	1733
378	5384	1719
379	5398	1704
380	5413	1690
381	5427	1676
382	5441	1662
383	5454	1647
384	5467	1633
385	5481	1618
386	5494	1604
387	5509	1590
388	5522	1575
389	5537	1561
390	5551	1547
391	5565	1533
392	5578	1518
393	5591	1504
394	5605	1490
395	5619	1475
396	5632	1461
397	5646	1447
398	5660	1432
399	5674	1418
400	5688	1404
401	5701	1389
402	5715	1375
403	5730	1361
404	5744	1347
405	5758	1333
406	5771	1318
407	5784	1304
408	5797	1289
409	5811	1275
410	5824	1261
411	5837	1246
412	5851	1232
413	5865	1218
414	5878	1204
415	5892	1189
416	5907	1175
417	5922	1161
418	5935	1147
419	5948	1133
420	5962	1118
421	5975	1104
422	5988	1090
423	6002	1075
424	6015	1061
425	6029	1047
426	6042	1033
427	6056	1018
428	6069	1004
429	6083	990
430	6096	975
431	6110	961
432	6124	947
433	6138	933
434	6152	919
435	6165	904
436	6179	890
437	6192	876
438	6207	862
439	6220	848
440	6234	834
441	6248	819
442	6261	805
443	6275	791
444	6289	777
445	6303	763
446	6317	749
447	6331	734
448	6345	720
449	6359	706
450	6373	692
451	6386	678
452	6401	664
453	6415	650
454	6429	635
455	6443	621
456	6455	607
457	6469	593
458	6483	579
459	6496	564
460	6511	550
461	6525	536
462	6539	522
463	6552	508
464	6566	494
465	6579	480
466	6592	465
467	6606	451
468	6620	437
469	6633	423
470	6647	409
471	6661	395
472	6674	381
473	6688	366
474	6703	352
475	6717	338
